predicted_cluster,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,count,RetagPitchType
0,85.44576423719484,2418.2011184183625,12.290925928723958,-5.890722896132886,1,Fastball
0,87.05614951546345,2436.008004971655,14.8796503963767,-7.025319077319528,1,Fastball
0,87.00274942733923,2332.240151092672,18.25656323875187,-7.306385475330603,1,Fastball
0,88.8696023063838,2331.7957378738806,22.207185291432147,-7.710991829033554,1,Fastball
0,86.27794780163913,2477.4081240020905,19.93020843239716,-6.605680807858103,1,Fastball
0,87.70434025821433,2459.6397031419815,19.550433871628623,-5.071444168986931,1,Fastball
0,88.40214785641811,2323.712051213486,16.44613661273252,-9.14542632357545,1,Fastball
0,86.12737556602858,2382.6853425914032,17.601599353656205,-7.347665038255219,1,Fastball
0,88.0639254591936,2525.9220735934978,20.00947638243037,-7.551692536284495,1,Fastball
0,83.84480581930963,2358.654366925284,13.74571757848237,-7.88935963770322,1,Fastball
0,88.78894885561502,2493.3820424717787,17.16965785227935,-8.60891811681498,1,Fastball
0,86.61387563456954,2376.238586849108,17.05576196134088,-6.727533238761042,1,Fastball
0,87.27048062138329,2520.1457321372714,16.95431396531038,-6.800910513951728,1,Fastball
0,85.04560161534528,2452.33684202739,19.576427706946312,-7.966488923638337,1,Fastball
0,84.07909847055274,2398.1540783041046,18.564016585816653,-8.431153415294176,1,Fastball
0,84.39799572726709,2484.807982746576,15.313909026135322,-7.8417446842371445,1,Fastball
0,83.87402726933233,2383.4602143241514,20.847701245241634,-9.116127582469662,1,Fastball
0,85.59181233471854,2519.5527769289342,23.69916240220304,-8.272484898970935,1,Fastball
0,89.88887256055474,2311.5461426648426,20.025620067203953,-8.377870824124068,1,Fastball
0,86.41240134990448,2319.89229621451,11.318759730702086,-7.2866159335167895,1,Fastball
0,86.65922565609102,2453.8391030956373,17.720656977888886,-7.297497297696416,1,Fastball
0,89.94548141044332,2447.672295144664,15.6645377656578,-8.124748537496194,1,Fastball
0,90.61044333674145,2478.10369020407,14.122612137854556,-7.0497236422999645,1,Fastball
0,90.47010186787546,2559.0696063661762,16.97168561369566,-7.43909780198629,1,Fastball
0,88.61983999371657,2381.8651921235646,23.815761480292085,-8.502160878667702,1,Fastball
0,85.41769692640368,2384.125128157426,12.070029279269832,-5.453030956774059,1,Fastball
0,88.57937607072759,2328.976114473305,19.74454924128923,-5.0273307355245125,1,Fastball
0,87.50939576711859,2403.8920095536337,12.127935124969106,-6.696969658432487,1,Fastball
0,84.30199812868014,2342.1576631809794,21.61925045899834,-6.238692248234937,1,Fastball
0,87.40386197093532,2310.2694262075406,16.363650052717432,-8.145216988257054,1,Fastball
0,83.6495568181884,2301.084244937731,16.19397902246695,-8.033228856764662,1,Fastball
0,85.1514595141216,2372.5548848089047,18.166828062738553,-8.61537097854962,1,Fastball
0,85.3268876396849,2472.754446783327,14.940102943565169,-7.746942471535135,1,Fastball
0,84.06759840049865,2484.9134451952277,18.333015459389227,-8.62634443105944,1,Fastball
0,89.25397937439291,2414.832600316341,19.55822952087198,-7.423049153427063,1,Fastball
0,84.6567143028405,2459.5590517363867,20.44928978856988,-9.465052448921346,1,Fastball
0,84.93495239563069,2285.6564331379127,19.090875854638245,-7.2887058145337615,1,Fastball
0,87.10196565370848,2379.9950291371524,20.872619416270684,-6.961014373136629,1,Fastball
0,87.48402707358252,2512.2600517975416,14.397407397545706,-5.8814852830033715,1,Fastball
0,83.81343752410793,2469.478031899729,15.36410546538505,-7.9067538751938375,1,Fastball
0,87.46926595218285,2338.5194127455834,15.192844198515294,-7.007988089047287,1,Fastball
0,88.44890344626799,2315.5997546542517,18.029817940596917,-6.477444706382682,1,Fastball
0,85.40553851313867,2349.9446873511524,20.039945243127747,-7.976647208626664,1,Fastball
0,85.35056025583009,2408.913092816888,16.89891331617912,-7.4516976300475655,1,Fastball
0,89.25331819991817,2568.869646819706,20.94781093320032,-6.36161974651731,1,Fastball
0,90.52164615978421,2459.880581138838,14.925883982334632,-6.063499774829585,1,Fastball
0,88.15108597110552,2595.4536501601456,14.110139654653794,-6.228678303171891,1,Fastball
0,87.80800713120406,2509.397206855595,16.083877389441213,-6.458611116279776,1,Fastball
0,88.41223476409931,2240.3401872864183,16.37311606901442,-6.056731811215061,1,Fastball
0,89.67616797326545,2479.126809741377,11.413829382504803,-5.274622009544251,1,Fastball
0,86.21149487646935,2383.684504086451,13.776171861931283,-7.239553302312215,1,Fastball
0,83.106921957501,2494.12723079469,17.97086691290421,-9.338053623509614,1,Fastball
0,87.83460716661699,2445.529842858737,17.032790971316793,-8.43733026940485,1,Fastball
0,86.94460751809318,2346.266251514002,13.428503634815929,-7.652061939885486,1,Fastball
0,87.9970148354681,2324.7878792402944,11.498183793500445,-8.417789433376711,1,Fastball
0,84.89162934683017,2320.8680270450086,13.370854735938721,-6.1805235046377796,1,Fastball
0,85.27192679947035,2422.1730830641163,23.60050712276351,-6.943290078433952,1,Fastball
